,Plant.ID,treatment,year,infl1,infl2,infl3,infl4,infl5,infl6,infl7,infl8
1,SPLEN_01,Autogamy,2021,0,0,0,,,,,
2,SPLEN_02,Autogamy,2021,0,0,0,,,,,
3,SPLEN_03,Autogamy,2021,0,0,0,,,,,
4,SPLEN_04,Autogamy,2021,0,0,0,,,,,
5,SPLEN_05,Autogamy,2021,0,0,,,,,,
6,SPLEN_06,Autogamy,2021,0,0,,,,,,
7,SPLEN_07,Autogamy,2021,0,0,,,,,,
8,SPLEN_08,Autogamy,2021,0,0,0,0,,,,
9,SPLEN_09,Autogamy,2021,0,0,,,,,,
10,SPLEN_10,Autogamy,2021,0,0,0,,,,,
11,SPLEN_01,Geitonogamy,2021,0,0,,,,,,
12,SPLEN_02,Geitonogamy,2021,0,0,,,,,,
13,SPLEN_03,Geitonogamy,2021,0,0,,,,,,
14,SPLEN_04,Geitonogamy,2021,0,0,,,,,,
15,SPLEN_05,Geitonogamy,2021,0,,,,,,,
16,SPLEN_06,Geitonogamy,2021,,,,,,,,
17,SPLEN_07,Geitonogamy,2021,0,0,,,,,,
18,SPLEN_08,Geitonogamy,2021,0,,,,,,,
19,SPLEN_09,Geitonogamy,2021,0,,,,,,,
20,SPLEN_10,Geitonogamy,2021,0,0,,,,,,
31,SPLEN_01,Pollen suppl.,2021,0,0,,,,,,
32,SPLEN_02,Pollen suppl.,2021,2,0,,,,,,
33,SPLEN_03,Pollen suppl.,2021,0,0,0,0,,,,
34,SPLEN_04,Pollen suppl.,2021,0,,,,,,,
35,SPLEN_05,Pollen suppl.,2021,0,,,,,,,
36,SPLEN_06,Pollen suppl.,2021,0,,,,,,,
37,SPLEN_07,Pollen suppl.,2021,2,7,,,,,,
38,SPLEN_08,Pollen suppl.,2021,0,,,,,,,
39,SPLEN_09,Pollen suppl.,2021,0,0,,,,,,
40,SPLEN_10,Pollen suppl.,2021,0,0,0,,,,,
21,SPLEN_01,Open,2021,6,0,0,0,0,0,,
22,SPLEN_02,Open,2021,4,4,4,0,0,,,
23,SPLEN_03,Open,2021,0,0,0,0,0,0,,
24,SPLEN_04,Open,2021,5,2,6,0,0,0,,
25,SPLEN_05,Open,2021,0,0,0,,,,,
26,SPLEN_06,Open,2021,0,0,0,,,,,
27,SPLEN_07,Open,2021,6,5,5,2,0,0,0,
28,SPLEN_08,Open,2021,6,0,0,0,,,,
29,SPLEN_09,Open,2021,5,5,0,0,,,,
30,SPLEN_10,Open,2021,5,3,0,0,0,0,,
41,SPLEN_01,Birds & insects,2021,0,0,0,0,,,,
42,SPLEN_02,Birds & insects,2021,0,0,,,,,,
43,SPLEN_03,Birds & insects,2021,0,0,0,0,0,0,,
44,SPLEN_04,Birds & insects,2021,0,0,0,,,,,
45,SPLEN_05,Birds & insects,2021,0,0,,,,,,
46,SPLEN_06,Birds & insects,2021,0,,,,,,,
47,SPLEN_07,Birds & insects,2021,0,0,0,,,,,
48,SPLEN_08,Birds & insects,2021,0,0,0,0,,,,
49,SPLEN_09,Birds & insects,2021,,,,,,,,
50,SPLEN_10,Birds & insects,2021,3,2,2,0,0,0,0,0
51,SPLEN_01,Insects only,2021,0,0,,,,,,
52,SPLEN_02,Insects only,2021,0,0,0,,,,,
53,SPLEN_03,Insects only,2021,0,,,,,,,
54,SPLEN_04,Insects only,2021,0,0,,,,,,
55,SPLEN_05,Insects only,2021,0,0,,,,,,
56,SPLEN_06,Insects only,2021,0,,,,,,,
57,SPLEN_07,Insects only,2021,3,0,,,,,,
58,SPLEN_08,Insects only,2021,0,0,0,0,,,,
59,SPLEN_09,Insects only,2021,,,,,,,,
60,SPLEN_10,Insects only,2021,3,0,0,0,,,,
61,SPLEN_01,Mammals only,2021,0,0,0,0,0,0,,
62,SPLEN_02,Mammals only,2021,0,0,0,0,0,0,,
63,SPLEN_03,Mammals only,2021,0,0,0,,,,,
64,SPLEN_04,Mammals only,2021,0,0,0,0,0,0,,
65,SPLEN_05,Mammals only,2021,0,0,,,,,,
66,SPLEN_06,Mammals only,2021,0,0,0,0,,,,
67,SPLEN_07,Mammals only,2021,7,4,6,0,0,0,0,
68,SPLEN_08,Mammals only,2021,0,0,0,0,0,,,
69,SPLEN_09,Mammals only,2021,,,,,,,,
70,SPLEN_10,Mammals only,2021,5,0,0,0,0,,,
71,SPLEN11,Autogamy,2022,0,0,0,,,,,
72,SPLEN12,Autogamy,2022,0,0,,,,,,
73,SPLEN13,Autogamy,2022,3,0,0,,,,,
74,SPLEN14,Autogamy,2022,1,0,0,,,,,
75,SPLEN15,Autogamy,2022,0,0,,,,,,
76,SPLEN16,Autogamy,2022,0,0,,,,,,
77,SPLEN17,Autogamy,2022,0,,,,,,,
78,SPLEN18,Autogamy,2022,0,,,,,,,
79,SPLEN11,Geitonogamy,2022,0,0,0,,,,,
80,SPLEN12,Geitonogamy,2022,1,,,,,,,
81,SPLEN13,Geitonogamy,2022,1,,,,,,,
82,SPLEN14,Geitonogamy,2022,4,3,0,0,,,,
83,SPLEN15,Geitonogamy,2022,0,0,,,,,,
84,SPLEN16,Geitonogamy,2022,0,0,,,,,,
85,SPLEN17,Geitonogamy,2022,0,0,0,,,,,
86,SPLEN18,Geitonogamy,2022,0,,,,,,,
95,SPLEN11,Pollen suppl.,2022,3,2,3,,,,,
96,SPLEN12,Pollen suppl.,2022,2,2,,,,,,
97,SPLEN13,Pollen suppl.,2022,6,0,4,,,,,
98,SPLEN14,Pollen suppl.,2022,4,4,4,,,,,
99,SPLEN15,Pollen suppl.,2022,0,0,,,,,,
100,SPLEN16,Pollen suppl.,2022,3,4,,,,,,
101,SPLEN17,Pollen suppl.,2022,4,5,6,0,0,,,
102,SPLEN18,Pollen suppl.,2022,2,1,7,0,,0,,
87,SPLEN11,Open,2022,3,2,0,,,,,
88,SPLEN12,Open,2022,3,0,0,,,,,
89,SPLEN13,Open,2022,5,3,2,5,,,,
90,SPLEN14,Open,2022,3,3,4,,,,,
91,SPLEN15,Open,2022,1,0,,,,,,
92,SPLEN16,Open,2022,4,,,,,,,
93,SPLEN17,Open,2022,5,0,0,0,0,,,
94,SPLEN18,Open,2022,3,0,0,0,,,,
103,SPLEN11,Birds & insects,2022,2,0,0,,,,,
104,SPLEN12,Birds & insects,2022,0,0,,,,,,
105,SPLEN13,Birds & insects,2022,0,5,,,,,,
106,SPLEN14,Birds & insects,2022,4,5,,,,,,
107,SPLEN15,Birds & insects,2022,0,0,0,,,,,
108,SPLEN16,Birds & insects,2022,0,0,0,0,0,,,
109,SPLEN17,Birds & insects,2022,4,5,0,6,0,0,0,0
110,SPLEN18,Birds & insects,2022,5,4,3,0,0,0,,
111,SPLEN11,Insects only,2022,2,0,0,,,,,
112,SPLEN12,Insects only,2022,0,1,,,,,,
113,SPLEN13,Insects only,2022,6,5,,,,,,
114,SPLEN14,Insects only,2022,4,0,0,0,,,,
115,SPLEN15,Insects only,2022,0,,,,,,,
116,SPLEN16,Insects only,2022,0,0,0,0,,,,
117,SPLEN17,Insects only,2022,1,3,0,0,0,0,,
118,SPLEN18,Insects only,2022,0,0,0,0,,,,
119,SPLEN11,Mammals only,2022,2,1,0,,,,,
120,SPLEN12,Mammals only,2022,0,3,0,,,,,
121,SPLEN13,Mammals only,2022,5,3,3,0,,,,
122,SPLEN14,Mammals only,2022,0,2,3,,,,,
123,SPLEN15,Mammals only,2022,0,0,0,0,,,,
124,SPLEN16,Mammals only,2022,0,0,0,0,,,,
125,SPLEN17,Mammals only,2022,5,0,0,0,0,0,0,0
126,SPLEN18,Mammals only,2022,0,0,0,0,0,,,
